,stcode,설립유형,총_대기율,staff_score,capacity_score,safety_score,service_score,affordability_score,final_score,기관명,주소_정제,위도,경도
1681,11410000120,가정,120,0.3475,0.0403333333333333,0.606,0.0,0.083,0.2153666666666666,꾸러기어린이집,서울특별시 서대문구 세검정로1길 93 103동 103호,37.59532727,126.9447173
1682,11410000121,가정,74,0.3915,0.0343333333333333,0.432,0.0,0.507,0.2729666666666667,별초롱어린이집,서울특별시 서대문구 응암로 28 4동103호,37.57626466888977,126.9097123438257
1683,11410000122,민간,100,0.34175,0.0786666666666666,0.472,0.0415,0.674,0.3215833333333333,꿈사랑어린이집,서울특별시 서대문구 이화여대8길 62 서울특별시 서대문구 북아현동 두산아파트 단지내,37.5599321,126.9500267
1684,11410000127,가정,70,0.3562499999999999,0.0403333333333333,0.503,0.06425,0.119,0.2165666666666666,하나어린이집,서울특별시 서대문구 통일로39가길 57 102동 102호,37.58990025636118,126.9409868687426
1685,11410000128,국공립,115,0.346,0.0563333333333333,0.503,0.184,0.35,0.2878666666666666,신나라어린이집,서울특별시 서대문구 거북골로 154 101동 108호,37.5764938,126.9131712
1686,11410000132,가정,119,0.349,0.074,0.5345,0.0833333333333333,0.244,0.2569666666666667,재재어린이집,서울특별시 서대문구 증가로 191 104동 102호,37.57795141,126.9166267
1687,11410000136,가정,101,0.27625,0.0406666666666666,0.503,0.0,0.318,0.2275833333333333,아이꿈터어린이집,서울특별시 서대문구 가재울로 45 103동 101호,37.57478416,126.9205465
1688,11410000137,가정,17,0.36975,0.0559999999999999,0.606,0.295,0.661,0.3975499999999999,새벽산어린이집,서울특별시 서대문구 세검정로1길 95 101동 103호,37.59532727,126.9447173
1689,11410000142,가정,19,0.3165,0.0376666666666666,0.432,0.27975,0.306,0.2743833333333333,삼성한울어린이집,서울특별시 서대문구 통일로 319 101동 102호,37.57827921,126.9511246
1690,11410000153,가정,28,0.20475,0.0376666666666666,0.503,0.04525,0.61,0.2801333333333333,예랑어린이집,서울특별시 서대문구 간호대로3길 35 101호,37.5953454304785,126.9477403586451
1691,11410000161,민간,-,0.5097499999999999,0.0676666666666666,0.143,0.0,0.0,0.1440833333333333,홍제동성당부설방과후교실어린이집,서울특별시 서대문구 통일로40길 18,37.5900422,126.9439585
1692,11410000166,민간,19,0.227,0.0793333333333333,0.7090000000000001,0.56875,0.641,0.4450166666666667,은담어린이집,서울특별시 서대문구 증가로8길 33,37.57847030000001,126.9251909
1693,11410000167,민간,16,0.227,0.1416666666666666,0.7090000000000001,0.56775,1.0,0.5290833333333333,예일어린이집,서울특별시 서대문구 증가로31길 41,37.5821688,126.9099592
1694,11410000171,직장,0,0.4827499999999999,0.2329999999999999,0.763,0.1515,0.616,0.44925,세브란스어린이집,서울특별시 서대문구 연대동문길 41 세브란스 어린이집,37.56425546,126.9442434
1695,11410000176,가정,67,0.263,0.0543333333333333,0.503,0.25,0.265,0.2670666666666667,천사어린이집,서울특별시 서대문구 연희로 38-20 대우아파트 관리동 2층,37.5620923186,126.9285767459
1696,11410000178,가정,49,0.329,0.0559999999999999,0.503,0.0,0.011,0.1798,그루터기어린이집,서울특별시 서대문구 통일로25길 30 101동 101호,37.58415389552496,126.9470456729433
1697,11410000179,국공립,120,0.3865,0.1406666666666666,0.5660000000000001,0.222,0.261,0.3152333333333333,성모어린이집,서울특별시 서대문구 세무서5길 24-2,37.59111619999999,126.9454639
1698,11410000182,민간,374,0.37625,0.163,0.6775,0.353,1.0,0.51395,동우어린이나라어린이집,서울특별시 서대문구 북아현로22나길 85,37.5655428,126.9572479
1699,11410000187,민간,49,0.3964999999999999,0.1596666666666666,0.646,0.6717500000000001,1.0,0.5747833333333333,아현어린이집,서울특별시 서대문구 신촌로 293 아현감리교회 부설 아현어린이집,37.55773,126.9587772
1700,11410000188,민간,40,0.204,0.08,0.503,0.17525,1.0,0.39245,샛별어린이집,서울특별시 서대문구 연희로41길 45,37.5906683,126.9351675
1701,11410000190,민간,16,0.35325,0.0523333333333333,0.5345,0.037,0.409,0.2772166666666666,하람어린이집,서울특별시 서대문구 가재울로 36,37.5747606,126.9220652
1702,11410000193,민간,46,0.3045,0.0666666666666666,0.5345,0.1962499999999999,0.643,0.3489833333333333,뜨란어린이집,서울특별시 서대문구 독립문로8길 54 뜨란채아파트 107동 관리동,37.5674511,126.9584059
1703,11410000202,민간,53,0.403,0.1896666666666666,0.6775,0.4097499999999999,0.818,0.4995833333333334,숲속몬테소리어린이집,서울특별시 서대문구 연희로31길 33,37.5757737,126.933672
1704,11410000210,민간,91,0.32825,0.071,0.503,0.10225,0.483,0.2975,삼성이화어린이집,서울특별시 서대문구 수색로6길 43 삼성래미안2차아파트,37.5719882,126.9126582
1705,11410000213,직장,0,0.4207499999999999,0.33,0.7945,0.1661730769230769,0.675,0.4772846153846154,경찰청어린이집,서울특별시 서대문구 통일로 97,37.56417357,126.9668647
1706,11410000214,가정,80,0.3732499999999999,0.04,0.4635,0.03425,0.717,0.3256,백합어린이집,서울특별시 서대문구 가재울미래로 2 218동103호,37.57422871661037,126.9149628345996
1707,11410000215,민간,129,0.26675,0.0979999999999999,0.6375,0.19125,0.276,0.2938999999999999,이대복지어린이집,서울특별시 서대문구 이화여대길 52,37.5625607,126.9474535
